,windSpeed,waveHeight,waveTp,peakDeflection,peakDeflectionTower
0,4.0,1.39,7.14,2.7032,15.630099999999999
1,4.0,1.39,7.14,2.787,17.342299999999998
2,3.7,1.39,7.14,3.6654,14.758799999999999
3,3.7,1.39,7.14,3.7484,22.1884
4,4.2,1.39,7.14,4.8689,15.936300000000001
5,4.0,1.39,7.14,5.1682,24.6022
6,3.6,1.39,7.14,2.8813,18.1977
7,3.8,1.39,7.14,3.5408000000000004,15.004700000000001
8,4.7,1.39,7.14,4.5603,13.8168
9,3.9,1.39,7.14,5.598800000000001,16.3381
10,3.8,1.39,7.14,6.4461,22.4221
11,3.8,1.39,7.14,4.9218,20.8112
12,4.3,1.39,7.14,2.1897,15.9194
13,3.9,1.39,7.14,3.5614,9.9773
14,4.3,1.39,7.14,5.4636,10.3068
15,3.0,1.39,7.14,5.2484,12.4375
16,4.5,1.39,7.14,3.4026,16.6612
17,5.2,1.39,7.14,3.7511,13.2156
18,6.4,1.39,7.14,4.2181999999999995,16.1818
19,8.8,1.39,7.14,4.4517,10.1021
20,8.3,1.39,7.14,3.0782,7.7182
21,8.8,1.39,7.14,3.2745999999999995,10.7053
22,9.1,1.39,7.14,2.4712,12.7265
23,8.4,1.39,7.14,4.1386,13.4214
24,7.4,1.39,7.14,4.2497,9.9909
25,5.0,1.39,7.14,5.1754,8.2075
26,5.3,1.39,7.14,4.364599999999999,9.6861
27,6.2,1.39,7.14,4.6429,8.5006
28,4.7,1.29,7.14,3.9834,9.0734
29,4.9,1.29,7.14,3.7742999999999998,11.2288
30,4.3,1.29,7.14,3.3048,11.2519
31,3.8,1.29,7.14,4.6465,10.1337
32,3.5,1.29,7.14,3.8684999999999996,14.0746
33,2.9,1.29,7.14,8.1888,16.1
34,2.5,1.29,7.14,4.508100000000001,13.9328
35,3.0,1.29,7.14,5.7656,8.255700000000001
36,1.5,1.29,7.14,6.0931,8.8255
37,2.0,1.29,7.14,7.732,7.892499999999999
38,2.5,1.29,7.14,5.9638,9.6688
39,2.0,1.29,7.14,4.6744,9.2764
40,1.4,1.29,7.14,4.9085,11.7922
41,1.8,1.29,7.14,5.0461,10.3338
42,1.7,1.29,7.14,3.5698,9.3523
43,1.2,1.29,7.14,6.0073,11.2748
44,1.9,1.29,7.14,7.6945,14.3351
45,1.1,1.29,7.14,4.5499,14.5679
46,1.6,1.29,7.14,7.6953,9.5894
47,1.9,1.29,7.14,5.2222,7.843
48,1.0,1.29,7.14,5.7362,11.4801
49,1.2,1.29,7.14,2.2399,8.8098
50,1.1,1.29,7.14,3.8095999999999997,9.321200000000001
51,0.5,1.29,7.14,5.827,15.8769
52,0.4,1.29,7.14,6.024100000000001,11.491999999999999
53,1.4,1.29,7.14,6.1897,8.1192
54,1.1,1.29,7.14,6.3588000000000005,6.7999
55,1.7,1.29,7.14,5.0693,8.6281
56,1.5,1.29,7.14,4.7339,7.7503
57,1.0,1.29,7.14,5.4805,7.0082
58,5.2,1.04,7.69,3.7329,17.2033
59,5.0,1.04,7.69,2.6009,16.924
60,4.9,1.04,7.69,3.7128,15.431600000000001
61,4.9,1.04,7.69,3.7131999999999996,12.530800000000001
62,5.1,1.04,7.69,2.2908,15.5216
63,5.8,1.04,7.69,1.2845,11.661299999999999
64,4.6,1.04,7.69,2.0126,7.119300000000001
65,5.6,1.04,7.69,3.0742,10.411900000000001
66,6.1,1.04,7.69,2.056,7.9626
67,5.8,1.04,7.69,3.6523,7.628500000000001
68,6.1,1.04,7.69,4.4002,11.970500000000001
69,5.8,1.04,7.69,2.4676,15.523700000000002
70,4.8,1.04,7.69,5.1683,19.7555
71,4.6,1.04,7.69,3.3125,10.2534
72,5.8,1.04,7.69,3.2489,7.3644
73,5.4,1.04,7.69,3.5860999999999996,8.9781
74,4.7,1.04,7.69,2.5351,6.8126999999999995
75,4.8,1.04,7.69,2.6993,10.3609
76,5.0,1.04,7.69,1.4398,15.1441
