Turbine,t_land,t_discon,dt_landed,epoch_land,epoch_discon,helihoist_ax_orientation,sbitroot_ax_orientation
4,2019-09-07T10:38:36,2019-09-07T14:26:27,03:47:51,1567845516.59867,1567859187.632,1,3
5,2019-09-20T06:49:38,2019-09-20T09:10:25,02:20:47,1568954978.12633,1568963425.25967,-1,1
5,2019-09-20T14:00:52,2019-09-20T15:10:24,01:09:31,1568980852.81367,1568985024.68033,-1,1
5,2019-09-20T19:00:47,2019-09-20T20:38:07,01:37:20,1568998847.05867,1569004687.992,-1,1
6,2019-09-22T14:23:28,2019-09-22T15:44:46,01:21:18,1569155008.25833,1569159886.425,-1,1
6,2019-09-23T00:38:18,2019-09-23T02:03:48,01:25:29,1569191898.76867,1569197028.002,-1,1
7,2019-09-25T14:34:41,2019-09-25T15:39:37,01:04:55,1569414881.87567,1569418777.54233,-3,3
7,2019-09-25T21:12:13,2019-09-25T22:28:57,01:16:44,1569438733.34233,1569443337.87567,-1,1
7,2019-09-26T03:37:16,2019-09-26T04:57:01,01:19:44,1569461836.75433,1569466621.48767,-1,1
8,2019-10-15T09:05:11,2019-10-15T10:05:10,00:59:59,1571123111.175,1571126710.475,-1,3
8,2019-10-15T16:28:11,2019-10-15T17:47:00,01:18:49,1571149691.082,1571154420.94867,-1,3
8,2019-10-16T03:07:23,2019-10-16T04:35:48,01:28:24,1571188043.83367,1571193348.03367,-1,3
10,2019-10-23T22:12:33,2019-10-23T22:29:21,00:16:47,1571861553.654,1571862561.12067,-1,3
11,2019-10-31T13:24:03,2019-10-31T14:49:47,01:25:43,1572521043.40067,1572526187.00067,3,1
11,2019-10-31T18:02:19,2019-10-31T20:33:59,02:31:40,1572537739.00067,1572546839.60067,3,1
12,2019-11-05T06:46:02,2019-11-05T08:22:33,01:36:31,1572929162.294,1572934953.86067,3,3
12,2019-11-07T03:05:22,2019-11-07T05:37:12,02:31:49,1573088722.994,1573097832.76067,1,1
13,2019-11-16T08:16:18,2019-11-16T09:51:58,01:35:40,1573884978.39767,1573890718.49767,-1,1
13,2019-11-17T16:25:57,2019-11-17T18:03:11,01:37:14,1574000757.01767,1574006591.31767,-1,1
14,2019-11-25T05:38:02,2019-11-25T06:32:13,00:54:10,1574653082.95367,1574656333.55367,-1,1
14,2019-11-25T11:14:40,2019-11-25T12:50:58,01:36:18,1574673280.218,1574679058.618,-1,1
14,2019-11-25T16:28:29,2019-11-25T18:27:59,01:59:30,1574692109.22567,1574699279.92567,-1,1
