Turbine,t_land,t_discon,dt_landed,epoch_land,epoch_discon,helihoist_ax_orientation,sbittip_ax_orientation
4,2019-09-07T10:38:47,2019-09-07T14:11:37,03:32:49,1567845527.532,1567858297.39867,3,3
5,2019-09-20T06:54:07,2019-09-20T08:56:39,02:02:31,1568955247.92633,1568962599.093,-3,3
5,2019-09-20T13:59:14,2019-09-20T14:57:41,00:58:26,1568980754.98033,1568984261.88033,-3,3
5,2019-09-20T18:59:38,2019-09-20T20:31:39,01:32:00,1568998778.492,1569004299.02533,-3,3
6,2019-09-22T14:23:37,2019-09-22T15:34:33,01:10:56,1569155017.325,1569159273.45833,-3,3
6,2019-09-23T00:37:49,2019-09-23T01:53:36,01:15:46,1569191869.73533,1569196416.43533,-3,3
8,2019-10-15T09:14:26,2019-10-15T10:01:14,00:46:47,1571123666.275,1571126474.20833,-1,3
8,2019-10-15T16:27:47,2019-10-15T17:41:56,01:14:09,1571149667.54867,1571154116.54867,3,1
8,2019-10-16T03:09:33,2019-10-16T04:20:19,01:10:45,1571188173.93367,1571192419.03367,3,1
11,2019-10-31T13:24:40,2019-10-31T14:49:49,01:25:08,1572521080.76733,1572526189.234,3,1
11,2019-10-31T18:02:16,2019-10-31T20:36:27,02:34:10,1572537736.90067,1572546987.134,3,1
12,2019-11-05T06:46:32,2019-11-05T08:22:31,01:35:59,1572929192.194,1572934951.594,3,3
14,2019-11-25T05:39:35,2019-11-25T06:31:04,00:51:29,1574653175.35367,1574656264.62033,3,3
14,2019-11-25T11:15:53,2019-11-25T12:48:42,01:32:48,1574673353.418,1574678922.38467,3,3
14,2019-11-25T16:29:58,2019-11-25T18:24:00,01:54:01,1574692198.62567,1574699040.42567,3,3
