Turbine,t_land,t_discon,dt_landed,epoch_land,epoch_discon,helihoist_ax_orientation,sbitroot_ax_orientation
22,2020-03-07T11:33:09,2020-03-07T12:32:35,00:59:26,1583573589.60167,1583577155.66833,-1,1
22,2020-03-14T04:38:45,2020-03-14T05:34:49,00:56:03,1584153525.819,1584156889.65233,1,1
22,2020-03-14T08:46:22,2020-03-14T10:08:34,01:22:11,1584168382.959,1584173314.12567,1,1
23,2020-03-26T18:09:53,2020-03-26T20:17:23,02:07:30,1585238993.083,1585246643.983,3,3
23,2020-03-26T22:46:50,2020-03-26T23:56:59,01:10:08,1585255610.86133,1585259819.29467,3,3
23,2020-03-27T02:26:32,2020-03-27T03:36:49,01:10:17,1585268792.03533,1585273009.53533,1,1
26,2020-04-23T04:38:55,2020-04-23T05:33:24,00:54:28,1587609535.76067,1587612804.52733,-1,1
26,2020-04-23T09:09:40,2020-04-23T10:23:49,01:14:08,1587625780.74633,1587630229.713,-1,1
26,2020-04-23T12:54:35,2020-04-23T14:05:23,01:10:48,1587639275.19267,1587643523.49267,-3,3
27,2020-04-25T13:13:47,2020-04-25T14:36:42,01:22:55,1587813227.19567,1587818202.79567,-1,1
27,2020-04-25T17:32:51,2020-04-25T19:43:00,02:10:08,1587828771.44933,1587836580.316,-1,1
27,2020-04-25T22:26:20,2020-04-25T23:14:41,00:48:20,1587846380.96033,1587849281.39367,-3,3
28,2020-05-01T19:59:32,2020-05-01T20:57:50,00:58:18,1588355972.12367,1588359470.79033,-3,3
28,2020-05-02T00:03:34,2020-05-02T01:49:16,01:45:41,1588370614.50867,1588376956.242,-1,1
28,2020-05-02T05:13:16,2020-05-02T07:47:30,02:34:13,1588389196.926,1588398450.49267,-3,3
29,2020-05-04T03:01:09,2020-05-04T05:12:13,02:11:04,1588554069.76667,1588561933.96667,3,3
29,2020-05-04T08:01:35,2020-05-04T09:39:56,01:38:21,1588572095.04033,1588577996.207,1,1
29,2020-05-04T12:20:11,2020-05-04T14:07:48,01:47:37,1588587611.011,1588594068.27767,1,1
