epoch;acc_x;acc_y
0.;0.11563;0.36439
0.2167;0.02753;0.15237
0.4334;0.02201;0.1027
0.6501;-0.02236;0.07604
0.8668;0.01135;0.00247
1.0835;0.04649;-0.05036
1.3002;0.01745;0.05677
1.5169;0.004;0.20891
1.7336;-0.07186;0.07631
1.9503;-0.04401;0.12598
2.167;-0.04533;0.09557
2.3837;-0.00678;-0.06323
2.6004;-0.02163;-0.17897
2.8171;-0.05696;-0.12365
3.0338;-0.04787;-0.08941
3.2505;-0.0413;-0.14443
3.4672;0.01401;-0.00505
3.6839;0.0164;0.00793
3.9006;0.0257;-0.09747
4.1173;-0.00633;-0.15054
4.334;-0.0146;-0.13968
4.5507;0.00931;-0.20725
4.7674;0.02446;-0.23569
4.9841;0.05793;-0.09398
5.2008;0.03791;-0.04159
5.4175;0.03586;-0.02159
5.6342;0.02569;0.03303
5.8509;0.06154;0.04503
6.0676;0.09069;-0.04607
6.2843;0.08515;-0.08147
6.501;0.04745;-0.01892
6.7177;-0.00712;-0.00384
6.9344;-0.02677;0.05634
7.1511;-0.02661;0.16212
7.3678;-0.02033;0.20868
7.5845;-0.04127;0.16249
7.8012;-0.07389;0.13261
8.0179;-0.09325;0.10699
8.2346;-0.08592;0.05234
8.4513;-0.04259;0.05834
8.668;-0.01395;0.13324
8.8847;-0.00592;0.17692
9.1014;-0.01868;0.15796
9.3181;-0.03234;0.15966
9.5348;-0.02205;0.10132
9.7515;0.00911;-0.00762
9.9682;0.03964;-0.05169
10.1849;0.02612;-0.06056
10.4016;-0.00267;-0.07568
10.6183;-0.00915;-0.07635
10.835;0.02291;-0.03867
11.0517;0.05058;-0.05745
11.2684;0.0558;-0.11583
11.4851;0.03935;-0.1432
11.7018;0.01196;-0.18051
11.9185;0.00576;-0.22245
12.1352;0.02069;-0.21726
12.3519;0.03475;-0.15508
12.5686;0.01963;-0.11568
12.7853;-0.00801;-0.07793
13.002;-0.02764;-0.04808
13.2187;-0.03505;-0.06485
13.4354;-0.02717;-0.09871
13.6521;-0.01756;-0.10518
13.8688;-0.0192;-0.07328
14.0855;-0.04383;-0.03809
14.3022;-0.0606;0.00918
14.5189;-0.06063;0.0734
14.7356;-0.04408;0.08601
14.9523;-0.02494;0.06932
15.169;-0.02993;0.07201
15.3857;-0.04438;0.07021
15.6024;-0.04771;0.06992
15.8191;-0.0152;0.10191
16.0358;0.04178;0.13484
16.2525;0.08207;0.15813
16.4692;0.09022;0.16447
16.6859;0.0735;0.16004
16.9026;0.07197;0.13529
17.1193;0.08172;0.09581
17.336;0.09754;0.07315
17.5527;0.08184;0.05777
17.7694;0.0404;0.04798
17.9861;-0.00455;0.03251
18.2028;-0.02695;0.00888
18.4195;-0.02165;-0.0181
18.6362;-0.00406;-0.04127
18.8529;-0.01008;-0.06282
19.0696;-0.03385;-0.07341
19.2863;-0.06433;-0.083
19.503;-0.06592;-0.10531
19.7197;-0.04079;-0.10272
19.9364;-0.01766;-0.08819
20.1531;-0.02211;-0.09633
20.3698;-0.04528;-0.09788
20.5865;-0.0578;-0.08527
20.8032;-0.05015;-0.08722
21.0199;-0.02294;-0.09657
21.2366;-0.01255;-0.09018
21.4533;-0.01948;-0.09374
21.67;-0.03602;-0.09441
21.8867;-0.03845;-0.07782
22.1034;-0.01174;-0.05319
22.3201;0.02259;-0.02958
22.5368;0.05145;-0.01331
22.7535;0.05769;0.00665
22.9702;0.05818;0.0133
23.1869;0.06672;0.00933
23.4036;0.09416;0.02854
23.6203;0.11599;0.05573
23.837;0.10721;0.07729
24.0537;0.07934;0.11329
24.2704;0.04617;0.15386
24.4871;0.02427;0.16298
24.7038;0.00506;0.1582
24.9205;-0.01597;0.1516
25.1372;-0.05064;0.1381
25.3539;-0.08814;0.13236
25.5706;-0.11224;0.12971
25.7873;-0.11197;0.13728
26.004;-0.09545;0.13155
26.2207;-0.0848;0.11251
26.4374;-0.0831;0.09385
26.6541;-0.08593;0.05228
26.8708;-0.07218;-0.00417
27.0875;-0.04511;-0.04635
27.3042;-0.01149;-0.07603
27.5209;0.00499;-0.09504
27.7376;0.01405;-0.09343
27.9543;0.01826;-0.08593
28.171;0.0331;-0.10741
28.3877;0.05861;-0.12946
28.6044;0.08583;-0.1441
28.8211;0.09772;-0.16569
29.0378;0.09098;-0.17814
29.2545;0.08422;-0.16013
29.4712;0.08862;-0.13061
29.6879;0.1019;-0.09826
29.9046;0.10527;-0.06188
30.1213;0.08048;-0.04779
30.338;0.04102;-0.05697
30.5547;0.00172;-0.06525
30.7714;-0.01821;-0.05359
30.9881;-0.04081;-0.0299
31.2048;-0.07063;0.00118
31.4215;-0.10253;0.03784
31.6382;-0.12094;0.06905
31.8549;-0.12955;0.0737
32.0716;-0.12571;0.07257
32.2883;-0.10897;0.06967
32.505;-0.08884;0.07059
32.7217;-0.06164;0.08833
32.9384;-0.03373;0.11741
33.1551;-0.00377;0.14315
33.3718;0.02727;0.14911
33.5885;0.05669;0.14351
33.8052;0.07462;0.13171
34.0219;0.08573;0.10564
34.2386;0.09467;0.09484
34.4553;0.09545;0.09348
34.672;0.08793;0.07622
34.8887;0.07178;0.05656
35.1054;0.04523;0.03265
35.3221;0.02355;0.0004679
35.5388;0.00534;-0.03016
35.7555;-0.00937;-0.05787
35.9722;-0.02976;-0.08331
36.1889;-0.04348;-0.09945
36.4056;-0.05786;-0.10552
36.6223;-0.05179;-0.10658
36.839;-0.03667;-0.11483
37.0557;-0.02268;-0.12026
37.2724;-0.01938;-0.12484
37.4891;-0.01786;-0.1293
37.7058;-0.01294;-0.12143
37.9225;-0.01032;-0.10149
38.1392;-0.0051;-0.08764
38.3559;-0.00273;-0.07595
38.5726;-0.00565;-0.06521
38.7893;-0.01113;-0.05347
39.006;-0.01247;-0.0475
39.2227;-0.00781;-0.03234
39.4394;0.00467;-0.01098
39.6561;0.01822;-0.00411
39.8728;0.02278;0.01949
40.0895;0.02136;0.04545
40.3062;0.02454;0.05643
40.5229;0.03307;0.07274
40.7396;0.04324;0.08473
40.9563;0.04605;0.0913
41.173;0.04165;0.0981
41.3897;0.03067;0.11592
41.6064;0.01759;0.12763
41.8231;0.01011;0.12483
42.0398;-0.00086;0.13562
42.2565;-0.01719;0.13393
42.4732;-0.03741;0.11527
42.6899;-0.05002;0.10577
42.9066;-0.05203;0.0935
43.1233;-0.0555;0.07172
43.34;-0.05194;0.06068
43.5567;-0.04836;0.05502
43.7734;-0.03697;0.03449
43.9901;-0.02758;0.01614
44.2068;-0.01497;-0.0023
44.4235;-0.00473;-0.02899
44.6402;0.00456;-0.05388
44.8569;0.01631;-0.06977
45.0736;0.02902;-0.08
45.2903;0.04515;-0.09333
45.507;0.04958;-0.10186
45.7237;0.04912;-0.10684
45.9404;0.054;-0.10704
46.1571;0.06519;-0.11702
46.3738;0.06443;-0.12994
46.5905;0.03897;-0.14013
46.8072;0.02173;-0.15392
47.0239;0.02155;-0.14143
47.2406;0.02174;-0.11192
47.4573;0.00161;-0.09203
47.674;-0.0237;-0.0802
47.8907;-0.0511;-0.0743
48.1074;-0.06587;-0.07045
48.3241;-0.07029;-0.07012
48.5408;-0.07143;-0.04575
48.7575;-0.08828;-0.00261
48.9742;-0.10053;0.0373
49.1909;-0.09702;0.07441
49.4076;-0.07619;0.09596
49.6243;-0.0493;0.10455
49.841;-0.01832;0.10705
